ENTIDAD_RES,POBLACION,
AGUASCALIENTES,1425607,Centronorte de México
BAJA CALIFORNIA,3769020,Noroeste de México
BAJA CALIFORNIA SUR,798447,Noroeste de México
CAMPECHE,928363,Sureste de México
COAHUILA,3146771,Noroeste de México
COLIMA,731391,Oeste de México
CHIAPAS,5543828,Suroeste de México
CHIHUAHUA,3741869,Noroeste de México
CIUDAD DE MEXICO,9209944,Centrosur de México
DURANGO,1832650,Noroeste de México
GUANAJUATO,6166934,Centronorte de México
GUERRERO,3540685,Suroeste de México
HIDALGO,3082841,Oriente de México
JALISCO,8348151,Oeste de México
MEXICO,16992418,Centrosur de México
MICHOACAN,4748846,Oeste de México
MORELOS,1971520,Centrosur de México
NAYARIT,1235456,Oeste de México
NUEVO LEON,5784442,Noroeste de México
OAXACA,4132148,Suroeste de México
PUEBLA,6583278,Oriente de México
QUERETARO,2368467,Centronorte de México
QUINTANA ROO,1857985,Sureste de México
SAN LUIS POTOSI,2822255,Centronorte de México
SINALOA,3026943,Noroeste de México
SONORA,2944840,Noroeste de México
TABASCO,2402598,Sureste de México
TAMAULIPAS,3527735,Noroeste de México
TLAXCALA,1342977,Oriente de México
VERACRUZ,8062579,Oriente de México
YUCATAN,2320898,Sureste de México
ZACATECAS,1622138,Centronorte de México
