MUNICIPIO_RES,ENTIDAD_RES,ZONA
ACOLMAN,MEXICO,NORESTE
BENITO JUAREZ,CIUDAD DE MEXICO,CENTRO
AMECAMECA,MEXICO,SURESTE
APAXCO,MEXICO,NOROESTE
ATENCO,MEXICO,NORESTE
ATIZAPAN DE ZARAGOZA,MEXICO,NOROESTE
ATLAUTLA,MEXICO,SURESTE
AXAPUSCO,MEXICO,NORESTE
AYAPANGO,MEXICO,SURESTE
CUAUHTEMOC,CIUDAD DE MEXICO,CENTRO
IZTACALCO,CIUDAD DE MEXICO,CENTRO
CHALCO,MEXICO,SURESTE
CHIAUTLA,MEXICO,NORESTE
CHICOLOAPAN,MEXICO,NORESTE
CHICONCUAC,MEXICO,NORESTE
CHIMALHUACAN,MEXICO,NORESTE
COACALCO DE BERRIOZABAL,MEXICO,NORESTE
COCOTITLAN,MEXICO,SURESTE
VENUSTIANO CARRANZA,CIUDAD DE MEXICO,CENTRO
COYOTEPEC,MEXICO,NOROESTE
AZCAPOTZALCO,CIUDAD DE MEXICO,NOROESTE
GUSTAVO A. MADERO,CIUDAD DE MEXICO,NORESTE
CUAUTITLAN,MEXICO,NOROESTE
CUAUTITLAN IZCALLI,MEXICO,NOROESTE
ECATEPEC DE MORELOS,MEXICO,NORESTE
ECATZINGO,MEXICO,SURESTE
MIGUEL HIDALGO,CIUDAD DE MEXICO,NOROESTE
HUEHUETOCA,MEXICO,NOROESTE
HUEYPOXTLA,MEXICO,NORESTE
HUIXQUILUCAN,MEXICO,SUROESTE
ISIDRO FABELA,MEXICO,NOROESTE
IXTAPALUCA,MEXICO,NORESTE
ALVARO OBREGON,CIUDAD DE MEXICO,SUROESTE
COYOACAN,CIUDAD DE MEXICO,SUROESTE
JALTENCO,MEXICO,NORESTE
JILOTZINGO,MEXICO,NOROESTE
JUCHITEPEC,MEXICO,SURESTE
CUAJIMALPA DE MORELOS,CIUDAD DE MEXICO,SUROESTE
LA PAZ,MEXICO,NORESTE
MELCHOR OCAMPO,MEXICO,NOROESTE
IZTAPALAPA,CIUDAD DE MEXICO,SURESTE
LA MAGDALENA CONTRERAS,CIUDAD DE MEXICO,SUROESTE
NAUCALPAN DE JUAREZ,MEXICO,NOROESTE
NEXTLALPAN,MEXICO,NORESTE
NEZAHUALCOYOTL,MEXICO,NORESTE
NICOLAS ROMERO,MEXICO,NOROESTE
NOPALTEPEC,MEXICO,NORESTE
OTUMBA,MEXICO,NORESTE
OZUMBA,MEXICO,SURESTE
PAPALOTLA,MEXICO,NORESTE
SAN MARTIN DE LAS PIRAMIDES,MEXICO,NORESTE
TECAMAC,MEXICO,NORESTE
TEMAMATLA,MEXICO,SURESTE
TEMASCALAPA,MEXICO,NORESTE
TENANGO DEL AIRE,MEXICO,SURESTE
TEOLOYUCAN,MEXICO,NOROESTE
TEOTIHUACAN,MEXICO,NORESTE
TEPETLAOXTOC,MEXICO,NORESTE
TEPETLIXPA,MEXICO,SURESTE
TEPOTZOTLAN,MEXICO,NOROESTE
TEQUIXQUIAC,MEXICO,NOROESTE
TEXCOCO,MEXICO,NORESTE
TEZOYUCA,MEXICO,NORESTE
MILPA ALTA,CIUDAD DE MEXICO,SURESTE
TLALMANALCO,MEXICO,SURESTE
TLALNEPANTLA DE BAZ,MEXICO,NOROESTE
TLAHUAC,CIUDAD DE MEXICO,SURESTE
TONANITLA,MEXICO,NORESTE
TULTEPEC,MEXICO,NOROESTE
TULTITLAN,MEXICO,NOROESTE
VALLE DE CHALCO SOLIDARIDAD,MEXICO,SURESTE
TLALPAN,CIUDAD DE MEXICO,SUROESTE
VILLA DEL CARBON,MEXICO,NOROESTE
XOCHIMILCO,CIUDAD DE MEXICO,SURESTE
ZUMPANGO,MEXICO,NORESTE
